STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",AT,Austria,2023,,81.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",BA,Bosnia and Herzegovina,2023,,77.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",BE,Belgium,2023,,77.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",BG,Bulgaria,2023,,81.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",CH,Switzerland,2023,,81.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",CY,Cyprus,2023,,82.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",CZ,Czechia,2023,,86.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",DE,Germany,2023,,77.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",DK,Denmark,2023,,74.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,T,Total,Y15-64,From 15 to 64 years,PC,Percentage,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",EE,Estonia,2023,,82.5,,,,,
