STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,AT,Austria,2018,,102.67,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BE,Belgium,2018,,105.27,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,BG,Bulgaria,2018,,111.84,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CH,Switzerland,2018,,103.93,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CY,Cyprus,2018,,88.36,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,CZ,Czechia,2018,,113.87,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DE,Germany,2018,,109.04,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,DK,Denmark,2018,,106.72,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EE,Estonia,2018,,150.59,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,EL,Greece,2018,,61.61,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,ES,Spain,2018,,91.77,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FI,Finland,2018,,101.45,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,FR,France,2018,,101.44,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HR,Croatia,2018,,105.99,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,HU,Hungary,2018,,117.19,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IE,Ireland,2018,,115.99,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IS,Iceland,2018,,122.60,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,IT,Italy,2018,,94.93,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LT,Lithuania,2018,,149.71,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LU,Luxembourg,2018,,92.84,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,LV,Latvia,2018,,149.29,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,MT,Malta,2018,,124.71,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,NL,Netherlands,2018,,106.45,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,NO,Norway,2018,,111.47,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,PL,Poland,2018,,130.62,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,PT,Portugal,2018,,96.88,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,RO,Romania,2018,,143.73,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SE,Sweden,2018,,112.63,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SI,Slovenia,2018,,102.32,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,SK,Slovakia,2018,,110.08,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,TR,Türkiye,2018,,127.40,,,,,
dataflow,ESTAT:ILC_DI18(1.0),Income in real terms (2010 SILC=100),A,Annual,MED,Median,INX,Index,UK,United Kingdom,2018,,109.28,,,,,
